v,e,time
1024,65536,2.17428
1024,131072,4.47845
1024,262144,10.0593
4096,65536,11.7531
4096,131072,25.8796
4096,262144,38.9396
4096,524288,86.1198
4096,1048576,190.876
4096,2097152,371.064
4096,4194304,734.835
16384,65536,62.9565
16384,131072,110.1010
16384,262144,267.2030
16384,524288,602.6380
16384,1048576,1312.4320
16384,2097152,2697.5870
16384,4194304,5343.7442
